location,activity_type,cost,date,duration_hours
Kisumu,Wildlife Viewing,2721.49,5/5/2022,9
Nairobi,Cultural Tour,976.73,9/18/2022,5
Mombasa,Safari,1625.24,10/8/2022,14
Eldoret,Safari,184.38,7/2/2022,2
Eldoret,Wildlife Viewing,96.82,6/19/2022,21
Nairobi,Hiking,1285.76,7/10/2022,2
Nairobi,Hiking,2962.24,4/6/2022,14
Eldoret,Wildlife Viewing,4325.63,1/6/2022,1
Eldoret,Cultural Tour,1837.54,1/3/2022,2
Nakuru,Cultural Tour,2223.23,6/30/2022,22
Nakuru,Cultural Tour,1279.09,6/28/2022,16
Mombasa,Hiking,2124.28,5/17/2022,22
Nakuru,Safari,4801.79,7/21/2022,3
Eldoret,Safari,2609.06,2/16/2022,7
Nairobi,Safari,3872.4,2/23/2022,23
Eldoret,Wildlife Viewing,3604.54,9/23/2022,22
Eldoret,Safari,4554.78,9/16/2022,22
Kisumu,Wildlife Viewing,2149.6,6/27/2022,5
Kisumu,Safari,2513.5,2/16/2022,9
Mombasa,Safari,4282.58,7/12/2022,14
Nairobi,Beach,2425.67,2/13/2022,19
Mombasa,Hiking,3372.52,10/8/2022,19
Eldoret,Safari,1896.84,3/30/2022,5
Kisumu,Wildlife Viewing,1196.83,1/29/2022,10
Eldoret,Hiking,4659.72,3/18/2022,9
Mombasa,Hiking,1165.21,1/5/2022,8
Mombasa,Safari,1148.82,4/24/2022,9
Mombasa,Beach,2201.71,4/10/2022,20
Nairobi,Hiking,933.38,4/9/2022,3
Nairobi,Beach,3321.09,8/21/2022,19
Mombasa,Cultural Tour,1964.76,12/25/2022,6
Eldoret,Safari,4420.24,8/2/2022,20
Kisumu,Beach,1579.78,8/31/2022,17
Eldoret,Cultural Tour,647.88,12/25/2022,2
Kisumu,Cultural Tour,2152.35,6/8/2022,2
Nairobi,Cultural Tour,3529.74,9/11/2022,21
Mombasa,Beach,4502.78,2/20/2022,9
Kisumu,Beach,1968.08,5/3/2022,6
Eldoret,Hiking,255.79,4/2/2022,20
Kisumu,Safari,2955.84,11/3/2022,16
Nairobi,Cultural Tour,653.96,11/19/2022,7
Mombasa,Beach,3651.23,7/13/2022,5
Kisumu,Hiking,2019.47,11/9/2022,22
Kisumu,Cultural Tour,4130.9,5/5/2022,7
Mombasa,Hiking,745.22,1/7/2022,11
Nairobi,Safari,237.03,8/14/2022,19
Eldoret,Hiking,4508.24,7/9/2022,15
Nakuru,Safari,404.95,12/21/2022,21
Eldoret,Hiking,1729.18,1/31/2022,17
Kisumu,Beach,4260.97,9/15/2022,13
Nairobi,Wildlife Viewing,2188.9,12/10/2022,12
Kisumu,Cultural Tour,274.84,7/21/2022,1
Kisumu,Cultural Tour,1778.89,3/19/2022,19
Mombasa,Wildlife Viewing,2975.75,6/16/2022,11
Nairobi,Safari,3407.93,10/7/2022,11
Kisumu,Beach,4405.01,2/11/2022,22
Kisumu,Safari,2257.26,12/8/2022,17
Mombasa,Wildlife Viewing,3004.75,7/14/2022,1
Eldoret,Hiking,1562.01,8/3/2022,20
Kisumu,Cultural Tour,1174.86,12/4/2022,24
Eldoret,Hiking,82.0,4/1/2022,23
Kisumu,Cultural Tour,1218.61,2/19/2022,24
Eldoret,Beach,2692.07,6/15/2022,18
Nairobi,Beach,309.3,3/22/2022,20
Mombasa,Cultural Tour,4613.62,11/3/2022,9
Eldoret,Safari,2872.38,10/17/2022,11
Nairobi,Hiking,2775.06,4/18/2022,11
Nairobi,Hiking,766.48,1/8/2022,6
Eldoret,Beach,4122.62,10/8/2022,18
Nakuru,Cultural Tour,3798.64,11/8/2022,11
Eldoret,Beach,705.72,2/18/2022,9
Mombasa,Hiking,3269.41,5/26/2022,5
Nakuru,Cultural Tour,200.96,7/5/2022,8
Eldoret,Hiking,3597.35,3/5/2022,23
Kisumu,Hiking,2885.84,7/30/2022,19
Mombasa,Beach,2501.51,8/18/2022,4
Eldoret,Hiking,2699.34,12/12/2022,3
Nairobi,Hiking,2067.36,10/21/2022,21
Kisumu,Hiking,1723.59,4/23/2022,11
Nairobi,Safari,905.89,11/17/2022,16
Kisumu,Safari,4680.63,5/25/2022,9
Nakuru,Wildlife Viewing,281.93,7/13/2022,7
Kisumu,Cultural Tour,1963.23,9/13/2022,3
Nakuru,Hiking,4738.4,8/19/2022,4
Kisumu,Safari,1877.11,2/28/2022,24
Nairobi,Wildlife Viewing,4722.69,5/8/2022,24
Eldoret,Hiking,3740.25,4/28/2022,5
Nairobi,Beach,2212.34,1/21/2022,9
Kisumu,Cultural Tour,4121.31,3/25/2022,24
Nairobi,Beach,1740.09,3/31/2022,18
Nairobi,Cultural Tour,2912.5,4/29/2022,16
Mombasa,Beach,2089.59,6/15/2022,16
Eldoret,Safari,4513.04,2/6/2022,12
Mombasa,Wildlife Viewing,2992.63,10/13/2022,15
Kisumu,Safari,3509.4,5/13/2022,20
Mombasa,Safari,4304.35,4/22/2022,12
Kisumu,Safari,58.92,10/14/2022,6
Mombasa,Wildlife Viewing,196.72,1/25/2022,6
Nakuru,Cultural Tour,4047.64,4/28/2022,24
Nakuru,Cultural Tour,4029.45,5/22/2022,16
Kisumu,Beach,4392.38,12/12/2022,18
Nairobi,Wildlife Viewing,1072.86,12/16/2022,11
Nakuru,Beach,974.07,3/5/2022,20
Eldoret,Cultural Tour,2337.94,2/16/2022,6
Mombasa,Hiking,1800.03,4/5/2022,24
Eldoret,Wildlife Viewing,1222.95,9/23/2022,21
Kisumu,Beach,3929.93,8/14/2022,20
Nakuru,Wildlife Viewing,1379.0,7/4/2022,6
Eldoret,Wildlife Viewing,2851.24,8/16/2022,8
Mombasa,Safari,4530.28,10/17/2022,18
Nakuru,Wildlife Viewing,2085.9,4/25/2022,22
Eldoret,Cultural Tour,118.47,2/25/2022,2
Mombasa,Hiking,485.14,4/4/2022,14
Eldoret,Hiking,1707.19,8/18/2022,20
Eldoret,Cultural Tour,2865.55,6/17/2022,5
Nairobi,Wildlife Viewing,508.74,1/2/2022,1
Nairobi,Beach,1259.68,10/8/2022,24
Nairobi,Cultural Tour,3195.86,4/23/2022,4
Nakuru,Safari,3617.25,9/12/2022,16
Eldoret,Safari,1493.51,7/15/2022,1
Nakuru,Beach,168.95,5/11/2022,19
Nakuru,Hiking,4737.0,9/27/2022,12
Nairobi,Safari,575.04,11/7/2022,11
Nakuru,Wildlife Viewing,2331.74,4/7/2022,11
Nairobi,Safari,1679.58,2/26/2022,3
Nakuru,Cultural Tour,1130.73,10/31/2022,17
Eldoret,Wildlife Viewing,2641.55,9/13/2022,7
Mombasa,Wildlife Viewing,534.03,6/16/2022,13
Nakuru,Safari,2062.83,10/19/2022,22
Eldoret,Hiking,4845.49,5/18/2022,24
Nakuru,Wildlife Viewing,4169.01,3/3/2022,2
Mombasa,Wildlife Viewing,2648.49,2/17/2022,6
Nakuru,Wildlife Viewing,2028.12,12/25/2022,13
Nairobi,Beach,4037.88,7/2/2022,9
Eldoret,Wildlife Viewing,2929.75,11/16/2022,9
Mombasa,Safari,2169.97,3/22/2022,5
Eldoret,Wildlife Viewing,4761.52,4/26/2022,21
Kisumu,Safari,1131.74,2/5/2022,7
Eldoret,Beach,1594.83,3/8/2022,24
Kisumu,Safari,3098.37,7/15/2022,14
Nakuru,Wildlife Viewing,3204.48,5/20/2022,21
Kisumu,Cultural Tour,1389.1,9/25/2022,4
Kisumu,Cultural Tour,2052.26,8/23/2022,16
Nakuru,Cultural Tour,3175.33,11/28/2022,9
Eldoret,Cultural Tour,3117.23,1/16/2022,18
Nairobi,Cultural Tour,3042.38,12/3/2022,16
Nairobi,Safari,992.06,5/7/2022,13
Nairobi,Beach,4245.78,7/21/2022,23
Nakuru,Cultural Tour,3603.13,3/1/2022,23
Kisumu,Cultural Tour,4110.06,2/14/2022,3
Mombasa,Wildlife Viewing,1760.88,12/7/2022,2
Nairobi,Wildlife Viewing,895.89,11/11/2022,20
Mombasa,Wildlife Viewing,2467.87,12/17/2022,17
Eldoret,Wildlife Viewing,747.9,1/16/2022,1
Kisumu,Beach,3196.16,3/27/2022,8
Mombasa,Wildlife Viewing,2278.36,1/8/2022,7
Nairobi,Wildlife Viewing,3582.05,12/28/2022,24
Nairobi,Wildlife Viewing,3244.26,4/17/2022,23
Nairobi,Beach,309.21,1/2/2022,14
Kisumu,Wildlife Viewing,4474.01,9/8/2022,20
Nairobi,Hiking,368.54,4/11/2022,10
Nairobi,Wildlife Viewing,2238.54,1/14/2022,8
Nakuru,Safari,2017.21,12/24/2022,19
Nakuru,Cultural Tour,956.5,4/14/2022,8
